n,search_params,params,build_ndc,build_ms,recall_mean,ndc_mean,time_ms_mean
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1092659,103.98399699999999,0.883,369.337,0.043
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1092659,100.350621,0.883,369.337,0.043
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: L2 }",2089724,447.331525,0.579,908.520,0.213
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: L2 }",2089724,429.379123,0.579,908.520,0.202
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: L2 }",2089724,447.94982100000004,0.579,908.520,0.213
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: L2 }",2089724,456.971061,0.075,908.520,0.224
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1092659,99.436514,0.883,369.337,0.042
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1281118,136.533672,0.825,496.943,0.066
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1281118,134.761405,0.825,496.943,0.069
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1281118,128.61082900000002,0.825,496.943,0.064
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1281118,133.939748,0.825,496.943,0.069
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1265180,138.416812,0.823,496.987,0.066
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1265180,126.405463,0.823,496.987,0.065
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",284256,26.890871999999998,0.041,77.577,0.009
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1158269,116.22477,0.521,449.413,0.057
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1158269,117.958434,0.521,449.413,0.059
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1158269,120.045193,0.521,449.413,0.060
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1265180,130.39379100000002,0.823,496.987,0.067
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1265180,131.262837,0.823,496.987,0.066
5006,"{k:30, ef: 60, start_candidates: 1}","HnswParams { level_norm_param: 0.5, ef_construction: 20, m_max: 20, m_max_0: 20, distance: Dot }",1281118,136.205943,0.825,496.943,0.069
