inserted id: 7507, insert_level: 0, idx_at_insert_level: 7507 top_level: 5
inserted id: 8755, insert_level: 0, idx_at_insert_level: 8755 top_level: 5
inserted id: 940, insert_level: 0, idx_at_insert_level: 940 top_level: 5
inserted id: 8756, insert_level: 0, idx_at_insert_level: 8756 top_level: 5
inserted id: 5008, insert_level: 4, idx_at_insert_level: 42 top_level: 5
inserted id: 709, insert_level: 0, idx_at_insert_level: 709 top_level: 5
inserted id: 1017, insert_level: 0, idx_at_insert_level: 1017 top_level: 5
inserted id: 318, insert_level: 0, idx_at_insert_level: 318 top_level: 5
inserted id: 4, insert_level: 0, idx_at_insert_level: 4 top_level: 5
inserted id: 1098, insert_level: 0, idx_at_insert_level: 1098 top_level: 5
inserted id: 1254, insert_level: 0, idx_at_insert_level: 1254 top_level: 5
inserted id: 631, insert_level: 1, idx_at_insert_level: 162 top_level: 5
inserted id: 8757, insert_level: 0, idx_at_insert_level: 8757 top_level: 5
inserted id: 1881, insert_level: 0, idx_at_insert_level: 1881 top_level: 5
inserted id: 788, insert_level: 0, idx_at_insert_level: 788 top_level: 5
inserted id: 474, insert_level: 0, idx_at_insert_level: 474 top_level: 5
inserted id: 2503, insert_level: 0, idx_at_insert_level: 2503 top_level: 5
inserted id: 7508, insert_level: 2, idx_at_insert_level: 594 top_level: 5
inserted id: 941, insert_level: 0, idx_at_insert_level: 941 top_level: 5
inserted id: 710, insert_level: 0, idx_at_insert_level: 710 top_level: 5
inserted id: 8758, insert_level: 0, idx_at_insert_level: 8758 top_level: 5
inserted id: 3754, insert_level: 4, idx_at_insert_level: 28 top_level: 5
inserted id: 1018, insert_level: 0, idx_at_insert_level: 1018 top_level: 5
inserted id: 5009, insert_level: 1, idx_at_insert_level: 1425 top_level: 5
inserted id: 789, insert_level: 0, idx_at_insert_level: 789 top_level: 5
inserted id: 319, insert_level: 0, idx_at_insert_level: 319 top_level: 5
inserted id: 1255, insert_level: 0, idx_at_insert_level: 1255 top_level: 5
inserted id: 1099, insert_level: 0, idx_at_insert_level: 1099 top_level: 5
inserted id: 942, insert_level: 0, idx_at_insert_level: 942 top_level: 5
inserted id: 5, insert_level: 0, idx_at_insert_level: 5 top_level: 5
inserted id: 8759, insert_level: 0, idx_at_insert_level: 8759 top_level: 5
